Site,Confidence,File,Date,Year,Month,Day,HH,MM
R304,0.964,0.964_1_R304_20240807_191000_39.0s_42.0s.wav,07/08/2024,2024,8,7,19,10
R512,0.958,0.958_1_R512_20241228_183000_57.00s_60.00s.wav,28/12/2024,2024,12,28,18,30
R304,0.957,0.957_1_R304_20240811_122200_33.0s_36.0s.wav,11/08/2024,2024,8,11,12,22
R104,0.95,0.950_1_R104_20240906_122800_33.0s_36.0s.wav,06/09/2024,2024,9,6,12,28
R601,0.948,0.948_1_R601_20241231_042600_39.00s_42.00s.wav,31/12/2024,2024,12,31,4,26
R601,0.944,0.944_2_R601_20241231_042800_36.00s_39.00s.wav,31/12/2024,2024,12,31,4,28
R104,0.936,0.936_1_R104_20240908_122600_51.0s_54.0s.wav,08/09/2024,2024,9,8,12,26
R304,0.932,0.932_1_R304_20240804_174000_30.0s_33.0s.wav,04/08/2024,2024,8,4,17,40
R305,0.932,0.932_1_R305_20241222_181200_42.00s_45.00s.wav,22/12/2024,2024,12,22,18,12
R502,0.931,0.931_1_R502_20240819_182400_36.0s_39.0s.wav,19/08/2024,2024,8,19,18,24
R502,0.929,0.929_1_R502_20240806_094000_24.0s_27.0s.wav,06/08/2024,2024,8,6,9,40
R101,0.929,0.929_1_R101_20241229_160200_39.00s_42.00s.wav,29/12/2024,2024,12,29,16,2
R512,0.927,0.927_1_R512_20241031_173800_18.0s_21.0s.wav,31/10/2024,2024,10,31,17,38
R613,0.927,0.927_1_R613_20241221_182000_39.00s_42.00s.wav,21/12/2024,2024,12,21,18,20
R601,0.926,0.926_1_R601_20241231_042400_24.00s_27.00s.wav,31/12/2024,2024,12,31,4,24
R305,0.924,0.924_3_R305_20241222_183600_45.00s_48.00s.wav,22/12/2024,2024,12,22,18,36
R304,0.923,0.923_1_R304_20240814_072400_45.0s_48.0s.wav,14/08/2024,2024,8,14,7,24
R601,0.918,0.918_1_R601_20241231_042800_54.00s_57.00s.wav,31/12/2024,2024,12,31,4,28
R451,0.917,0.917_1_R451_20240806_183200_48.0s_51.0s.wav,06/08/2024,2024,8,6,18,32
R305,0.915,0.915_3_R305_20250101_071000_45.00s_48.00s.wav,01/01/2025,2025,1,1,7,10
R513,0.913,0.913_1_R513_20241017_165200_54.0s_57.0s.wav,17/10/2024,2024,10,17,16,52
R305,0.911,0.911_2_R305_20241222_183600_48.00s_51.00s.wav,22/12/2024,2024,12,22,18,36
R613,0.908,0.908_1_R613_20241219_181400_6.00s_9.00s.wav,19/12/2024,2024,12,19,18,14
R302,0.904,0.904_1_R302_20240811_192400_27.0s_30.0s.wav,11/08/2024,2024,8,11,19,24
R601,0.903,0.903_2_R601_20241231_042400_3.00s_6.00s.wav,31/12/2024,2024,12,31,4,24
R613,0.902,0.902_1_R613_20241231_182200_51.00s_54.00s.wav,31/12/2024,2024,12,31,18,22
R601,0.901,0.901_2_R601_20241228_185200_15.00s_18.00s.wav,28/12/2024,2024,12,28,18,52
R305,0.898,0.898_1_R305_20241219_181600_24.00s_27.00s.wav,19/12/2024,2024,12,19,18,16
R613,0.896,0.896_2_R613_20241231_182200_42.00s_45.00s.wav,31/12/2024,2024,12,31,18,22
R305,0.889,0.889_1_R305_20241221_173400_48.00s_51.00s.wav,21/12/2024,2024,12,21,17,34
R613,0.886,0.886_2_R613_20241221_183600_36.00s_39.00s.wav,21/12/2024,2024,12,21,18,36
R203,0.882,0.882_1_R203_20241222_172200_42.00s_45.00s.wav,22/12/2024,2024,12,22,17,22
R101,0.879,0.879_1_R101_20241216_145200_21.00s_24.00s.wav,16/12/2024,2024,12,16,14,52
R305,0.877,0.877_2_R305_20241222_181200_12.00s_15.00s.wav,22/12/2024,2024,12,22,18,12
R451,0.87,0.870_1_R451_20240802_173200_0.0s_3.0s.wav,02/08/2024,2024,8,2,17,32
R305,0.868,0.868_1_R305_20250102_170400_18.00s_21.00s.wav,02/01/2025,2025,1,2,17,4
R613,0.865,0.865_1_R613_20241231_182600_57.00s_60.00s.wav,31/12/2024,2024,12,31,18,26
R304,0.86,0.860_1_R304_20240801_122000_21.0s_24.0s.wav,01/08/2024,2024,8,1,12,20
R203,0.858,0.858_1_R203_20241222_160600_42.00s_45.00s.wav,22/12/2024,2024,12,22,16,6
R203,0.852,0.852_1_R203_20241222_173200_39.00s_42.00s.wav,22/12/2024,2024,12,22,17,32
R401,0.85,0.850_1_R401_20240802_170600_9.0s_12.0s.wav,02/08/2024,2024,8,2,17,6
R601,0.85,0.850_1_R601_20241230_182400_9.00s_12.00s.wav,30/12/2024,2024,12,30,18,24
R301,0.847,0.847_1_R301_20240810_180000_3.0s_6.0s.wav,10/08/2024,2024,8,10,18,0
R304,0.846,0.846_1_R304_20240818_102400_3.0s_6.0s.wav,18/08/2024,2024,8,18,10,24
R513,0.845,0.845_1_R513_20241101_182800_12.0s_15.0s.wav,01/11/2024,2024,11,1,18,28
R305,0.845,0.845_1_R305_20241225_175800_33.00s_36.00s.wav,25/12/2024,2024,12,25,17,58
R305,0.837,0.837_1_R305_20241225_072600_51.00s_54.00s.wav,25/12/2024,2024,12,25,7,26
R601,0.828,0.828_1_R601_20241228_185200_12.00s_15.00s.wav,28/12/2024,2024,12,28,18,52
